3.843881347656250000e+03,1.932739990234375000e+03
3.890191406250000000e+03,1.978279174804687500e+03
3.936910644531250000e+03,2.024121337890625000e+03
3.982888427734375000e+03,2.069332763671875000e+03
4.028125488281250000e+03,2.113918945312500000e+03
3.889749755859375000e+03,1.886127075195312500e+03
3.936654785156250000e+03,1.932175292968750000e+03
3.982950927734375000e+03,1.978105590820312500e+03
4.028758056640625000e+03,2.024004028320312500e+03
4.074066650390625000e+03,2.069277587890625000e+03
3.936291503906250000e+03,1.839197509765625000e+03
3.983187255859375000e+03,1.885866088867187500e+03
4.029734863281250000e+03,1.932044677734375000e+03
4.074940917968750000e+03,1.978164794921875000e+03
4.120156738281250000e+03,2.023985595703125000e+03
3.983247558593750000e+03,1.792955200195312500e+03
4.030075683593750000e+03,1.839380249023437500e+03
4.076086425781250000e+03,1.886073852539062500e+03
4.121209472656250000e+03,1.932273559570312500e+03
4.166090820312500000e+03,1.978304931640625000e+03
4.030978515625000000e+03,1.746169799804687500e+03
4.077230957031250000e+03,1.793311401367187500e+03
4.122972656250000000e+03,1.840859985351562500e+03
4.167763183593750000e+03,1.887069091796875000e+03
4.211734863281250000e+03,1.932977172851562500e+03
4.078218505859375000e+03,1.701861938476562500e+03
4.124815917968750000e+03,1.748344116210937500e+03
4.169801269531250000e+03,1.795737548828125000e+03
4.213970214843750000e+03,1.842688232421875000e+03
4.257219726562500000e+03,1.888934570312500000e+03
4.126817871093750000e+03,1.656301147460937500e+03
4.172137207031250000e+03,1.704031127929687500e+03
4.216154296875000000e+03,1.751361694335937500e+03
4.260015136718750000e+03,1.798143920898437500e+03
4.303087402343750000e+03,1.844904663085937500e+03
