"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0068445,2.3068,-1.3681,4.0,0.0,17.0,2.682,81223527.0
0.019347,6.5206,-1.0713,1.0,1.0,17.0,6.608,81223527.0
0.0071962,2.4254,-1.3627,3.0,2.0,17.0,2.782,81223527.0
0.020861,7.0309,-0.98813,80.0,3.0,17.0,7.1,81223527.0
0.007592,2.5588,-1.3605,3.0,4.0,17.0,2.898,81223527.0
0.020918,7.0499,-0.82444,49.0,5.0,17.0,7.098,81223527.0
0.0080443,2.7112,-1.3618,4.0,6.0,17.0,3.034,81223527.0
0.02091,7.0474,-0.65749,59.0,7.0,17.0,7.078,81223527.0
0.0085174,2.8706,-1.3588,2.0,8.0,17.0,3.176,81223527.0
0.02089,7.0408,-0.49234,60.0,9.0,17.0,7.058,81223527.0
0.0091399,3.0805,-1.3715,3.0,10.0,17.0,3.372,81223527.0
0.020854,7.0283,-0.32776,78.0,11.0,17.0,7.036,81223527.0
0.0097959,3.3015,-1.379,6.0,12.0,17.0,3.578,81223527.0
0.020906,7.0461,-0.16359,101.0,13.0,17.0,7.048,81223527.0
0.010442,3.5192,-1.3742,3.0,14.0,17.0,3.778,81223527.0
0.020888,7.04,0.0,52.0,15.0,17.0,7.04,81223527.0
0.011158,3.7606,-1.3688,5.0,16.0,17.0,4.002,81223527.0
0.020924,7.0521,0.16373,71.0,17.0,17.0,7.054,81223527.0
0.01207,4.068,-1.3746,3.0,18.0,17.0,4.294,81223527.0
0.020895,7.0423,0.32841,59.0,19.0,17.0,7.05,81223527.0
0.01308,4.4083,-1.3756,5.0,20.0,17.0,4.618,81223527.0
0.020885,7.0388,0.4922,44.0,21.0,17.0,7.056,81223527.0
0.014283,4.814,-1.3804,3.0,22.0,17.0,5.008,81223527.0
0.020904,7.0454,0.6573,66.0,23.0,17.0,7.076,81223527.0
0.015603,5.2588,-1.3767,6.0,24.0,17.0,5.436,81223527.0
0.020941,7.0579,0.82537,82.0,25.0,17.0,7.106,81223527.0
0.017201,5.7975,-1.3737,2.0,26.0,17.0,5.958,81223527.0
