"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0044255,2.3051,-1.367,5.0,0.0,11.0,2.68,449976700.0
0.012466,6.4929,-1.0668,1.0,1.0,11.0,6.58,449976700.0
0.0046698,2.4324,-1.3667,3.0,2.0,11.0,2.79,449976700.0
0.01351,7.0368,-0.98896,80.0,3.0,11.0,7.106,449976700.0
0.0049159,2.5605,-1.3615,3.0,4.0,11.0,2.9,449976700.0
0.013543,7.0539,-0.8249,55.0,5.0,11.0,7.102,449976700.0
0.0051914,2.704,-1.3582,4.0,6.0,11.0,3.026,449976700.0
0.01353,7.0474,-0.65749,72.0,7.0,11.0,7.078,449976700.0
0.005546,2.8887,-1.3673,3.0,8.0,11.0,3.196,449976700.0
0.013517,7.0408,-0.49234,69.0,9.0,11.0,7.058,449976700.0
0.0059281,3.0878,-1.3748,6.0,10.0,11.0,3.38,449976700.0
0.013501,7.0323,-0.32795,86.0,11.0,11.0,7.04,449976700.0
0.006335,3.2997,-1.3783,7.0,12.0,11.0,3.576,449976700.0
0.013524,7.0441,-0.16354,103.0,13.0,11.0,7.046,449976700.0
0.00676,3.5211,-1.3749,3.0,14.0,11.0,3.78,449976700.0
0.013524,7.044,0.0,66.0,15.0,11.0,7.044,449976700.0
0.0072416,3.7719,-1.3729,6.0,16.0,11.0,4.014,449976700.0
0.013531,7.0481,0.16364,77.0,17.0,11.0,7.05,449976700.0
0.0078137,4.0699,-1.3752,4.0,18.0,11.0,4.296,449976700.0
0.013524,7.0443,0.32851,83.0,19.0,11.0,7.052,449976700.0
0.0084634,4.4084,-1.3756,6.0,20.0,11.0,4.618,449976700.0
0.013525,7.0448,0.49262,51.0,21.0,11.0,7.062,449976700.0
0.0092865,4.8371,-1.387,3.0,22.0,11.0,5.032,449976700.0
0.013545,7.0553,0.65823,77.0,23.0,11.0,7.086,449976700.0
0.010104,5.2626,-1.3777,7.0,24.0,11.0,5.44,449976700.0
0.013558,7.0619,0.82583,84.0,25.0,11.0,7.11,449976700.0
0.011145,5.8053,-1.3755,2.0,26.0,11.0,5.966,449976700.0
0.013536,7.0507,0.99091,82.0,27.0,11.0,7.12,449976700.0
0.012428,6.4734,-1.376,7.0,28.0,11.0,6.618,449976700.0
0.013519,7.0416,1.1569,80.0,29.0,11.0,7.136,449976700.0
0.01352,7.0421,-1.3268,75.0,30.0,11.0,7.166,449976700.0
0.013524,7.0441,1.3272,77.0,31.0,11.0,7.168,449976700.0
0.010854,2.3034,-1.366,6.0,0.0,27.0,2.678,449976700.0
0.030607,6.4949,-1.0671,1.0,1.0,27.0,6.582,449976700.0
0.011487,2.4376,-1.3696,3.0,2.0,27.0,2.796,449976700.0
0.033114,7.0269,-0.98757,80.0,3.0,27.0,7.096,449976700.0
0.012058,2.5588,-1.3605,3.0,4.0,27.0,2.898,449976700.0
0.033203,7.0459,-0.82397,55.0,5.0,27.0,7.094,449976700.0
0.012743,2.704,-1.3582,4.0,6.0,27.0,3.026,449976700.0
0.033172,7.0394,-0.65675,72.0,7.0,27.0,7.07,449976700.0
0.013587,2.8833,-1.3648,3.0,8.0,27.0,3.19,449976700.0
0.033151,7.0347,-0.49192,69.0,9.0,27.0,7.052,449976700.0
0.014559,3.0896,-1.3756,6.0,10.0,27.0,3.382,449976700.0
0.033064,7.0163,-0.3272,82.0,11.0,27.0,7.024,449976700.0
0.015515,3.2923,-1.3752,8.0,12.0,27.0,3.568,449976700.0
0.033147,7.034,-0.16331,102.0,13.0,27.0,7.036,449976700.0
0.016584,3.5192,-1.3742,3.0,14.0,27.0,3.778,449976700.0
0.033109,7.0259,0.0,60.0,15.0,27.0,7.026,449976700.0
0.017757,3.7681,-1.3715,7.0,16.0,27.0,4.01,449976700.0
0.033166,7.038,0.1634,77.0,17.0,27.0,7.04,449976700.0
0.019161,4.0661,-1.3739,4.0,18.0,27.0,4.292,449976700.0
0.033148,7.0343,0.32804,79.0,19.0,27.0,7.042,449976700.0
0.020801,4.414,-1.3774,7.0,20.0,27.0,4.624,449976700.0
0.033169,7.0387,0.4922,48.0,21.0,27.0,7.056,449976700.0
0.022731,4.8236,-1.3831,3.0,22.0,27.0,5.018,449976700.0
0.033182,7.0413,0.65693,77.0,23.0,27.0,7.072,449976700.0
0.024781,5.2587,-1.3767,7.0,24.0,27.0,5.436,449976700.0
0.033269,7.0598,0.8256,82.0,25.0,27.0,7.108,449976700.0
0.027357,5.8052,-1.3755,2.0,26.0,27.0,5.966,449976700.0
0.03317,7.0387,0.98924,82.0,27.0,27.0,7.108,449976700.0
0.030505,6.4733,-1.376,6.0,28.0,27.0,6.618,449976700.0
0.033136,7.0317,1.1553,80.0,29.0,27.0,7.126,449976700.0
0.033139,7.0322,-1.3249,70.0,30.0,27.0,7.156,449976700.0
0.033148,7.0342,1.3253,71.0,31.0,27.0,7.158,449976700.0
0.017702,2.3051,-1.367,5.0,0.0,44.0,2.68,449976700.0
0.049786,6.4829,-1.0651,1.0,1.0,44.0,6.57,449976700.0
0.018719,2.4375,-1.3696,3.0,2.0,44.0,2.796,449976700.0
0.053886,7.0168,-0.98618,81.0,3.0,44.0,7.086,449976700.0
0.01965,2.5587,-1.3605,3.0,4.0,44.0,2.898,449976700.0
0.054063,7.0398,-0.82328,49.0,5.0,44.0,7.088,449976700.0
0.020848,2.7147,-1.3636,5.0,6.0,44.0,3.038,449976700.0
0.054058,7.0392,-0.65675,68.0,7.0,44.0,7.07,449976700.0
0.022086,2.876,-1.3614,3.0,8.0,44.0,3.182,449976700.0
0.053962,7.0266,-0.49136,64.0,9.0,44.0,7.044,449976700.0
0.023656,3.0804,-1.3715,5.0,10.0,44.0,3.372,449976700.0
0.053851,7.0122,-0.32702,74.0,11.0,44.0,7.02,449976700.0
0.025283,3.2922,-1.3752,7.0,12.0,44.0,3.568,449976700.0
0.053971,7.0279,-0.16317,102.0,13.0,44.0,7.03,449976700.0
0.027011,3.5172,-1.3735,3.0,14.0,44.0,3.776,449976700.0
0.053925,7.0218,0.0,52.0,15.0,44.0,7.022,449976700.0
0.028937,3.7681,-1.3715,6.0,16.0,44.0,4.01,449976700.0
0.053987,7.0299,0.16322,76.0,17.0,44.0,7.032,449976700.0
0.031255,4.0698,-1.3752,4.0,18.0,44.0,4.296,449976700.0
0.053973,7.0282,0.32776,72.0,19.0,44.0,7.036,449976700.0
0.033795,4.4006,-1.3732,7.0,20.0,44.0,4.61,449976700.0
0.053916,7.0206,0.49095,44.0,21.0,44.0,7.038,449976700.0
0.037042,4.8235,-1.3831,4.0,22.0,44.0,5.018,449976700.0
0.054028,7.0352,0.65637,74.0,23.0,44.0,7.066,449976700.0
0.040399,5.2606,-1.3772,7.0,24.0,44.0,5.438,449976700.0
0.054124,7.0478,0.82421,82.0,25.0,44.0,7.096,449976700.0
0.044536,5.7993,-1.3741,2.0,26.0,44.0,5.96,449976700.0
0.054023,7.0347,0.98869,78.0,27.0,44.0,7.104,449976700.0
0.049712,6.4732,-1.376,6.0,28.0,44.0,6.618,449976700.0
0.053969,7.0276,1.1546,80.0,29.0,44.0,7.122,449976700.0
0.053913,7.0203,-1.3227,76.0,30.0,44.0,7.144,449976700.0
0.053958,7.0262,1.3238,75.0,31.0,44.0,7.15,449976700.0
0.024468,2.2981,-1.363,3.0,0.0,61.0,2.672,449976700.0
0.068979,6.4788,-1.0645,2.0,1.0,61.0,6.566,449976700.0
0.02597,2.4392,-1.3706,3.0,2.0,61.0,2.798,449976700.0
0.0746,7.0067,-0.98479,81.0,3.0,61.0,7.076,449976700.0
