"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0048206,2.3017,-1.365,5.0,0.0,12.0,2.676,411511126.0
0.013636,6.5107,-1.0697,1.0,1.0,12.0,6.598,411511126.0
0.0051199,2.4446,-1.3735,3.0,2.0,12.0,2.804,411511126.0
0.01473,7.0329,-0.98841,80.0,3.0,12.0,7.102,411511126.0
0.0053665,2.5623,-1.3624,3.0,4.0,12.0,2.902,411511126.0
0.014765,7.0499,-0.82444,55.0,5.0,12.0,7.098,411511126.0
0.0056634,2.704,-1.3582,4.0,6.0,12.0,3.026,411511126.0
0.01476,7.0474,-0.65749,68.0,7.0,12.0,7.078,411511126.0
0.0060539,2.8905,-1.3682,3.0,8.0,12.0,3.198,411511126.0
0.014742,7.0388,-0.4922,69.0,9.0,12.0,7.056,411511126.0
0.0064288,3.0695,-1.3666,5.0,10.0,12.0,3.36,411511126.0
0.014724,7.0303,-0.32785,86.0,11.0,12.0,7.038,411511126.0
0.0069032,3.296,-1.3767,7.0,12.0,12.0,3.572,411511126.0
0.014749,7.0421,-0.1635,102.0,13.0,12.0,7.044,411511126.0
0.0073706,3.5192,-1.3742,3.0,14.0,12.0,3.778,411511126.0
0.014732,7.034,0.0,60.0,15.0,12.0,7.034,411511126.0
0.007892,3.7682,-1.3715,6.0,16.0,12.0,4.01,411511126.0
0.014753,7.0441,0.16354,77.0,17.0,12.0,7.046,411511126.0
0.008524,4.0699,-1.3752,4.0,18.0,12.0,4.296,411511126.0
0.014749,7.0423,0.32841,79.0,19.0,12.0,7.05,411511126.0
0.0092249,4.4045,-1.3744,5.0,20.0,12.0,4.614,411511126.0
0.014755,7.0448,0.49262,51.0,21.0,12.0,7.062,411511126.0
0.010119,4.8313,-1.3854,3.0,22.0,12.0,5.026,411511126.0
0.014768,7.0514,0.65786,77.0,23.0,12.0,7.082,411511126.0
0.011026,5.2646,-1.3782,7.0,24.0,12.0,5.442,411511126.0
0.014786,7.0599,0.8256,83.0,25.0,12.0,7.108,411511126.0
0.012122,5.7877,-1.3714,2.0,26.0,12.0,5.948,411511126.0
0.014759,7.0467,0.99036,82.0,27.0,12.0,7.116,411511126.0
0.013578,6.4831,-1.378,7.0,28.0,12.0,6.628,411511126.0
0.01474,7.0376,1.1562,80.0,29.0,12.0,7.132,411511126.0
0.014749,7.0421,-1.3268,75.0,30.0,12.0,7.166,411511126.0
0.014757,7.046,1.3275,75.0,31.0,12.0,7.17,411511126.0
0.012079,2.3068,-1.3681,6.0,0.0,30.0,2.682,411511679.0
0.034007,6.4948,-1.0671,1.0,1.0,30.0,6.582,411511679.0
0.012754,2.4358,-1.3686,3.0,2.0,30.0,2.794,411511679.0
