"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0028204,2.3086,-1.3691,5.0,0.0,7.0,2.684,423999734.0
0.0079543,6.5107,-1.0697,1.0,1.0,7.0,6.598,423999734.0
0.0029802,2.4393,-1.3706,3.0,2.0,7.0,2.798,423999734.0
0.0086044,7.0428,-0.9898,80.0,3.0,7.0,7.112,423999734.0
0.0031348,2.5658,-1.3643,3.0,4.0,7.0,2.906,423999734.0
0.0086229,7.0579,-0.82537,49.0,5.0,7.0,7.106,423999734.0
0.003308,2.7076,-1.36,4.0,6.0,7.0,3.03,423999734.0
0.0086173,7.0534,-0.65805,72.0,7.0,7.0,7.084,423999734.0
0.0035315,2.8905,-1.3682,3.0,8.0,7.0,3.198,423999734.0
0.0086093,7.0468,-0.49276,60.0,9.0,7.0,7.064,423999734.0
0.003759,3.0768,-1.3699,5.0,10.0,7.0,3.368,423999734.0
0.0085965,7.0363,-0.32813,74.0,11.0,7.0,7.044,423999734.0
0.0040336,3.3016,-1.379,6.0,12.0,7.0,3.578,423999734.0
0.0086109,7.0481,-0.16364,102.0,13.0,7.0,7.05,423999734.0
0.0043041,3.5229,-1.3757,3.0,14.0,7.0,3.782,423999734.0
0.0086083,7.046,0.0,60.0,15.0,7.0,7.046,423999734.0
0.004606,3.77,-1.3722,6.0,16.0,7.0,4.012,423999734.0
0.0086158,7.0521,0.16373,77.0,17.0,7.0,7.054,423999734.0
0.0049631,4.0624,-1.3727,4.0,18.0,7.0,4.288,423999734.0
0.0086112,7.0483,0.32869,65.0,19.0,7.0,7.056,423999734.0
0.0053812,4.4045,-1.3744,5.0,20.0,7.0,4.614,423999734.0
0.0086068,7.0448,0.49262,45.0,21.0,7.0,7.062,423999734.0
0.0058932,4.8236,-1.3831,4.0,22.0,7.0,5.018,423999734.0
0.0086246,7.0593,0.6586,74.0,23.0,7.0,7.09,423999734.0
0.0064177,5.253,-1.3752,7.0,24.0,7.0,5.43,423999734.0
0.0086326,7.0658,0.8263,82.0,25.0,7.0,7.114,423999734.0
0.0070687,5.7858,-1.3709,2.0,26.0,7.0,5.946,423999734.0
0.0086165,7.0527,0.99119,78.0,27.0,7.0,7.122,423999734.0
0.0079159,6.4792,-1.3772,8.0,28.0,7.0,6.624,423999734.0
0.0086102,7.0475,1.1579,80.0,29.0,7.0,7.142,423999734.0
