"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0064611,2.3137,-1.3721,5.0,0.0,16.0,2.69,235077540.0
0.018176,6.5087,-1.0693,1.0,1.0,16.0,6.596,235077540.0
0.0067583,2.4201,-1.3598,3.0,2.0,16.0,2.776,235077540.0
0.019634,7.0309,-0.98813,81.0,3.0,16.0,7.1,235077540.0
0.0071307,2.5535,-1.3577,3.0,4.0,16.0,2.892,235077540.0
0.019676,7.046,-0.82397,51.0,5.0,16.0,7.094,235077540.0
0.0075461,2.7023,-1.3573,4.0,6.0,16.0,3.024,235077540.0
0.019658,7.0394,-0.65675,72.0,7.0,16.0,7.07,235077540.0
0.0080669,2.8887,-1.3673,3.0,8.0,16.0,3.196,235077540.0
0.019656,7.0388,-0.4922,69.0,9.0,16.0,7.056,235077540.0
0.0085921,3.0768,-1.3699,5.0,10.0,16.0,3.368,235077540.0
0.019638,7.0323,-0.32795,86.0,11.0,16.0,7.04,235077540.0
0.0092042,3.296,-1.3767,7.0,12.0,16.0,3.572,235077540.0
0.019665,7.0421,-0.1635,102.0,13.0,16.0,7.044,235077540.0
0.0098379,3.5229,-1.3757,3.0,14.0,16.0,3.782,235077540.0
0.019648,7.036,0.0,60.0,15.0,16.0,7.036,235077540.0
0.010512,3.7644,-1.3701,6.0,16.0,16.0,4.006,235077540.0
0.019699,7.0541,0.16378,76.0,17.0,16.0,7.056,235077540.0
0.011381,4.0756,-1.3771,4.0,18.0,16.0,4.302,235077540.0
0.019666,7.0423,0.32841,76.0,19.0,16.0,7.05,235077540.0
0.01231,4.4083,-1.3756,5.0,20.0,16.0,4.618,235077540.0
0.019639,7.0328,0.49178,45.0,21.0,16.0,7.05,235077540.0
0.013481,4.8274,-1.3843,3.0,22.0,16.0,5.022,235077540.0
0.019674,7.0454,0.6573,77.0,23.0,16.0,7.076,235077540.0
0.014669,5.253,-1.3752,6.0,24.0,16.0,5.43,235077540.0
0.01972,7.0618,0.82583,82.0,25.0,16.0,7.11,235077540.0
0.016195,5.7994,-1.3741,2.0,26.0,16.0,5.96,235077540.0
0.019689,7.0507,0.99091,78.0,27.0,16.0,7.12,235077540.0
0.018088,6.4773,-1.3768,7.0,28.0,16.0,6.622,235077540.0
0.01968,7.0475,1.1579,81.0,29.0,16.0,7.142,235077540.0
0.019682,7.048,-1.3279,74.0,30.0,16.0,7.172,235077540.0
0.019665,7.0421,1.3268,71.0,31.0,16.0,7.166,235077540.0
0.012884,2.3068,-1.3681,6.0,0.0,32.0,2.682,235077540.0
0.036274,6.4948,-1.0671,1.0,1.0,32.0,6.582,235077540.0
0.013536,2.4236,-1.3618,3.0,2.0,32.0,2.78,235077540.0
0.039257,7.0288,-0.98785,77.0,3.0,32.0,7.098,235077540.0
0.014261,2.5534,-1.3577,3.0,4.0,32.0,2.892,235077540.0
0.039341,7.0439,-0.82374,49.0,5.0,32.0,7.092,235077540.0
0.015092,2.7022,-1.3573,4.0,6.0,32.0,3.024,235077540.0
0.039304,7.0373,-0.65656,68.0,7.0,32.0,7.068,235077540.0
0.016134,2.8887,-1.3673,3.0,8.0,32.0,3.196,235077540.0
0.03929,7.0347,-0.49192,64.0,9.0,32.0,7.052,235077540.0
0.017154,3.0713,-1.3674,5.0,10.0,32.0,3.362,235077540.0
0.039265,7.0303,-0.32785,86.0,11.0,32.0,7.038,235077540.0
0.018367,3.2886,-1.3736,7.0,12.0,32.0,3.564,235077540.0
0.039286,7.034,-0.16331,102.0,13.0,32.0,7.036,235077540.0
0.019676,3.5229,-1.3757,3.0,14.0,32.0,3.782,235077540.0
0.039263,7.0299,0.0,60.0,15.0,32.0,7.03,235077540.0
0.021045,3.7681,-1.3715,6.0,16.0,32.0,4.01,235077540.0
0.039353,7.046,0.16359,76.0,17.0,32.0,7.048,235077540.0
0.022699,4.0642,-1.3733,3.0,18.0,32.0,4.29,235077540.0
0.039287,7.0342,0.32804,72.0,19.0,32.0,7.042,235077540.0
0.024578,4.4007,-1.3732,5.0,20.0,32.0,4.61,235077540.0
0.039212,7.0207,0.49095,45.0,21.0,32.0,7.038,235077540.0
0.026951,4.8255,-1.3837,3.0,22.0,32.0,5.02,235077540.0
0.039315,7.0393,0.65675,75.0,23.0,32.0,7.07,235077540.0
0.02937,5.2587,-1.3767,7.0,24.0,32.0,5.436,235077540.0
0.039385,7.0518,0.82467,77.0,25.0,32.0,7.1,235077540.0
0.032412,5.8032,-1.3751,2.0,26.0,32.0,5.964,235077540.0
0.039323,7.0407,0.98952,78.0,27.0,32.0,7.11,235077540.0
0.036165,6.4752,-1.3764,6.0,28.0,32.0,6.62,235077540.0
0.03935,7.0454,1.1575,80.0,29.0,32.0,7.14,235077540.0
0.039308,7.0381,-1.3261,74.0,30.0,32.0,7.162,235077540.0
0.039275,7.0322,1.3249,69.0,31.0,32.0,7.156,235077540.0
0.019655,2.2982,-1.363,5.0,0.0,49.0,2.672,235077540.0
0.055494,6.4888,-1.0661,1.0,1.0,49.0,6.576,235077540.0
0.020712,2.4218,-1.3608,3.0,2.0,49.0,2.778,235077540.0
0.06001,7.0168,-0.98618,80.0,3.0,49.0,7.086,235077540.0
0.021807,2.5499,-1.3558,3.0,4.0,49.0,2.888,235077540.0
0.060121,7.0298,-0.82211,51.0,5.0,49.0,7.078,235077540.0
0.023217,2.7147,-1.3636,5.0,6.0,49.0,3.038,235077540.0
0.060065,7.0232,-0.65526,72.0,7.0,49.0,7.054,235077540.0
0.024689,2.8868,-1.3665,3.0,8.0,49.0,3.194,235077540.0
0.060042,7.0206,-0.49095,64.0,9.0,49.0,7.038,235077540.0
0.026376,3.084,-1.3731,5.0,10.0,49.0,3.376,235077540.0
0.060021,7.0181,-0.3273,86.0,11.0,49.0,7.026,235077540.0
0.028125,3.2885,-1.3736,6.0,12.0,49.0,3.564,235077540.0
0.060036,7.0199,-0.16299,102.0,13.0,49.0,7.022,235077540.0
0.030096,3.5191,-1.3742,3.0,14.0,49.0,3.778,235077540.0
0.060035,7.0197,0.0,60.0,15.0,49.0,7.02,235077540.0
0.032225,3.768,-1.3715,6.0,16.0,49.0,4.01,235077540.0
0.060173,7.0358,0.16336,76.0,17.0,49.0,7.038,235077540.0
0.034806,4.0698,-1.3752,4.0,18.0,49.0,4.296,235077540.0
0.060072,7.0241,0.32757,72.0,19.0,49.0,7.032,235077540.0
0.037635,4.4006,-1.3732,5.0,20.0,49.0,4.61,235077540.0
0.059974,7.0126,0.49039,45.0,21.0,49.0,7.03,235077540.0
0.041317,4.8311,-1.3854,3.0,22.0,49.0,5.026,235077540.0
