"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0028288,2.3154,-1.3732,4.0,0.0,7.0,2.692,113692249.0
0.0079519,6.5087,-1.0693,1.0,1.0,7.0,6.596,113692249.0
0.002961,2.4236,-1.3618,3.0,2.0,7.0,2.78,113692249.0
0.0085947,7.0349,-0.98869,69.0,3.0,7.0,7.104,113692249.0
0.0031261,2.5588,-1.3605,3.0,4.0,7.0,2.898,113692249.0
0.0086156,7.0519,-0.82467,46.0,5.0,7.0,7.1,113692249.0
0.0033102,2.7094,-1.3609,4.0,6.0,7.0,3.032,113692249.0
0.0086149,7.0514,-0.65786,62.0,7.0,7.0,7.082,113692249.0
0.0035337,2.8923,-1.3691,3.0,8.0,7.0,3.2,113692249.0
0.0086142,7.0508,-0.49304,64.0,9.0,7.0,7.068,113692249.0
0.003759,3.0768,-1.3699,5.0,10.0,7.0,3.368,113692249.0
0.008599,7.0383,-0.32823,74.0,11.0,7.0,7.046,113692249.0
0.0040201,3.2905,-1.3744,5.0,12.0,7.0,3.566,113692249.0
0.0086084,7.0461,-0.16359,101.0,13.0,7.0,7.048,113692249.0
0.0042995,3.5192,-1.3742,3.0,14.0,7.0,3.778,113692249.0
0.0086156,7.052,0.0,49.0,15.0,7.0,7.052,113692249.0
0.0045968,3.7625,-1.3694,5.0,16.0,7.0,4.004,113692249.0
0.0086231,7.0581,0.16387,71.0,17.0,7.0,7.06,113692249.0
0.0049747,4.0718,-1.3759,3.0,18.0,7.0,4.298,113692249.0
0.0086014,7.0403,0.32832,59.0,19.0,7.0,7.048,113692249.0
0.0053788,4.4026,-1.3738,4.0,20.0,7.0,4.612,113692249.0
0.0085995,7.0388,0.4922,41.0,21.0,7.0,7.056,113692249.0
0.0059002,4.8294,-1.3848,3.0,22.0,7.0,5.024,113692249.0
0.0086173,7.0534,0.65805,69.0,23.0,7.0,7.084,113692249.0
0.0064154,5.251,-1.3746,6.0,24.0,7.0,5.428,113692249.0
0.0086253,7.0599,0.8256,82.0,25.0,7.0,7.108,113692249.0
0.0070711,5.7877,-1.3714,2.0,26.0,7.0,5.948,113692249.0
0.0086213,7.0566,0.99175,67.0,27.0,7.0,7.126,113692249.0
0.0079159,6.4792,-1.3772,7.0,28.0,7.0,6.624,113692249.0
0.0086222,7.0574,1.1595,80.0,29.0,7.0,7.152,113692249.0
0.0086059,7.0441,-1.3272,74.0,30.0,7.0,7.168,113692249.0
0.0085987,7.0382,1.3261,61.0,31.0,7.0,7.162,113692249.0
0.0092464,2.3034,-1.366,5.0,0.0,23.0,2.678,113692249.0
0.026112,6.5047,-1.0687,1.0,1.0,23.0,6.592,113692249.0
0.0097641,2.4323,-1.3667,3.0,2.0,23.0,2.79,113692249.0
0.02824,7.0348,-0.98869,80.0,3.0,23.0,7.104,113692249.0
0.010286,2.5623,-1.3624,3.0,4.0,23.0,2.902,113692249.0
0.028284,7.0459,-0.82397,51.0,5.0,23.0,7.094,113692249.0
0.010883,2.7112,-1.3618,4.0,6.0,23.0,3.034,113692249.0
0.028266,7.0414,-0.65693,62.0,7.0,23.0,7.072,113692249.0
0.011582,2.8851,-1.3656,3.0,8.0,23.0,3.192,113692249.0
0.028264,7.0408,-0.49234,64.0,9.0,23.0,7.058,113692249.0
0.012344,3.075,-1.3691,5.0,10.0,23.0,3.366,113692249.0
0.028181,7.0203,-0.32739,78.0,11.0,23.0,7.028,113692249.0
0.013231,3.296,-1.3767,7.0,12.0,23.0,3.572,113692249.0
0.028237,7.034,-0.16331,102.0,13.0,23.0,7.036,113692249.0
0.014127,3.5192,-1.3742,3.0,14.0,23.0,3.778,113692249.0
0.028244,7.0359,0.0,56.0,15.0,23.0,7.036,113692249.0
0.015119,3.7663,-1.3708,6.0,16.0,23.0,4.008,113692249.0
0.028309,7.052,0.16373,75.0,17.0,23.0,7.054,113692249.0
0.016353,4.0737,-1.3765,3.0,18.0,23.0,4.3,113692249.0
0.028222,7.0303,0.32785,69.0,19.0,23.0,7.038,113692249.0
0.017681,4.4045,-1.3744,5.0,20.0,23.0,4.614,113692249.0
0.028223,7.0308,0.49164,44.0,21.0,23.0,7.048,113692249.0
0.019325,4.814,-1.3804,3.0,22.0,23.0,5.008,113692249.0
0.028274,7.0434,0.65712,69.0,23.0,23.0,7.074,113692249.0
0.021087,5.2529,-1.3752,6.0,24.0,23.0,5.43,113692249.0
0.0283,7.0499,0.82444,82.0,25.0,23.0,7.098,113692249.0
0.023233,5.7877,-1.3714,2.0,26.0,23.0,5.948,113692249.0
0.028287,7.0467,0.99036,74.0,27.0,23.0,7.116,113692249.0
0.025962,6.4675,-1.3747,6.0,28.0,23.0,6.612,113692249.0
0.028267,7.0415,1.1569,80.0,29.0,23.0,7.136,113692249.0
0.028213,7.0283,-1.3242,70.0,30.0,23.0,7.152,113692249.0
0.028213,7.0283,1.3242,61.0,31.0,23.0,7.152,113692249.0
0.016458,2.2999,-1.364,5.0,0.0,41.0,2.674,113692249.0
0.046505,6.4987,-1.0677,1.0,1.0,41.0,6.586,113692249.0
0.017368,2.4271,-1.3637,3.0,2.0,41.0,2.784,113692249.0
0.050283,7.0268,-0.98757,77.0,3.0,41.0,7.096,113692249.0
0.018323,2.5605,-1.3615,3.0,4.0,41.0,2.9,113692249.0
0.050349,7.0359,-0.82281,44.0,5.0,41.0,7.084,113692249.0
0.019375,2.7076,-1.36,4.0,6.0,41.0,3.03,113692249.0
0.050358,7.0373,-0.65656,56.0,7.0,41.0,7.068,113692249.0
0.020645,2.885,-1.3656,3.0,8.0,41.0,3.192,113692249.0
0.050311,7.0307,-0.49164,48.0,9.0,41.0,7.048,113692249.0
0.022082,3.0859,-1.374,5.0,10.0,41.0,3.378,113692249.0
0.050236,7.0202,-0.32739,56.0,11.0,41.0,7.028,113692249.0
