"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0016153,2.3137,-1.3721,4.0,0.0,4.0,2.69,70733318.0
0.0045508,6.5186,-1.071,1.0,1.0,4.0,6.606,70733318.0
0.001692,2.4236,-1.3618,3.0,2.0,4.0,2.78,70733318.0
0.0049099,7.0329,-0.98841,60.0,3.0,4.0,7.102,70733318.0
0.0017802,2.55,-1.3558,3.0,4.0,4.0,2.888,70733318.0
0.0049287,7.0599,-0.8256,42.0,5.0,4.0,7.108,70733318.0
0.0018928,2.7112,-1.3618,4.0,6.0,4.0,3.034,70733318.0
0.0049242,7.0534,-0.65805,59.0,7.0,4.0,7.084,70733318.0
0.0020117,2.8815,-1.3639,3.0,8.0,4.0,3.188,70733318.0
0.0049168,7.0428,-0.49248,49.0,9.0,4.0,7.06,70733318.0
0.0021455,3.0732,-1.3683,3.0,10.0,4.0,3.364,70733318.0
0.0049165,7.0423,-0.32841,59.0,11.0,4.0,7.05,70733318.0
0.0022959,3.2886,-1.3736,5.0,12.0,4.0,3.564,70733318.0
0.0049247,7.0541,-0.16378,81.0,13.0,4.0,7.056,70733318.0
0.0024569,3.5192,-1.3742,3.0,14.0,4.0,3.778,70733318.0
0.004919,7.046,0.0,45.0,15.0,4.0,7.046,70733318.0
0.0026267,3.7625,-1.3694,5.0,16.0,4.0,4.004,70733318.0
0.0049303,7.0621,0.16396,64.0,17.0,4.0,7.064,70733318.0
0.0028506,4.0832,-1.3797,3.0,18.0,4.0,4.31,70733318.0
0.0049207,7.0483,0.32869,46.0,19.0,4.0,7.056,70733318.0
0.0030843,4.4179,-1.3786,4.0,20.0,4.0,4.628,70733318.0
0.0049168,7.0428,0.49248,28.0,21.0,4.0,7.06,70733318.0
0.0033689,4.8255,-1.3837,3.0,22.0,4.0,5.02,70733318.0
0.004927,7.0574,0.65842,60.0,23.0,4.0,7.088,70733318.0
0.0036646,5.2491,-1.3741,6.0,24.0,4.0,5.426,70733318.0
0.0049287,7.0599,0.8256,74.0,25.0,4.0,7.108,70733318.0
0.0040447,5.7936,-1.3727,2.0,26.0,4.0,5.954,70733318.0
0.0049361,7.0705,0.9937,56.0,27.0,4.0,7.14,70733318.0
0.0045193,6.4734,-1.376,7.0,28.0,4.0,6.618,70733318.0
0.0049187,7.0455,1.1575,72.0,29.0,4.0,7.14,70733318.0
0.0049287,7.0598,-1.3301,74.0,30.0,4.0,7.184,70733318.0
0.0049149,7.0401,1.3264,56.0,31.0,4.0,7.164,70733318.0
0.0080344,2.3017,-1.365,5.0,0.0,20.0,2.676,70733318.0
0.022706,6.5048,-1.0687,1.0,1.0,20.0,6.592,70733318.0
