"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0028162,2.3051,-1.367,3.0,0.0,7.0,2.68,40559933.0
0.0079592,6.5147,-1.0703,1.0,1.0,7.0,6.602,40559933.0
0.0029674,2.4289,-1.3647,3.0,2.0,7.0,2.786,40559933.0
0.0085995,7.0388,-0.98924,63.0,3.0,7.0,7.108,40559933.0
0.0031218,2.5552,-1.3587,3.0,4.0,7.0,2.894,40559933.0
0.008618,7.0539,-0.8249,42.0,5.0,7.0,7.102,40559933.0
0.0033036,2.7041,-1.3582,3.0,6.0,7.0,3.026,40559933.0
0.0086124,7.0494,-0.65767,56.0,7.0,7.0,7.08,40559933.0
0.0035315,2.8905,-1.3682,3.0,8.0,7.0,3.198,40559933.0
0.008619,7.0548,-0.49332,52.0,9.0,7.0,7.072,40559933.0
0.003768,3.0841,-1.3731,3.0,10.0,7.0,3.376,40559933.0
0.008599,7.0383,-0.32823,70.0,11.0,7.0,7.046,40559933.0
0.0040269,3.296,-1.3767,5.0,12.0,7.0,3.572,40559933.0
0.008606,7.0441,-0.16354,81.0,13.0,7.0,7.046,40559933.0
0.0043018,3.5211,-1.3749,3.0,14.0,7.0,3.78,40559933.0
0.0086181,7.054,0.0,45.0,15.0,7.0,7.054,40559933.0
0.0045991,3.7644,-1.3701,5.0,16.0,7.0,4.006,40559933.0
0.0086231,7.0581,0.16387,61.0,17.0,7.0,7.06,40559933.0
0.0049839,4.0794,-1.3784,3.0,18.0,7.0,4.306,40559933.0
0.0086136,7.0503,0.32879,54.0,19.0,7.0,7.058,40559933.0
0.0053882,4.4103,-1.3762,4.0,20.0,7.0,4.62,40559933.0
0.0086044,7.0428,0.49248,34.0,21.0,7.0,7.06,40559933.0
0.0058885,4.8198,-1.382,3.0,22.0,7.0,5.014,40559933.0
0.008627,7.0613,0.65879,65.0,23.0,7.0,7.092,40559933.0
0.0064248,5.2588,-1.3767,6.0,24.0,7.0,5.436,40559933.0
0.0086326,7.0658,0.8263,77.0,25.0,7.0,7.114,40559933.0
0.0070925,5.8053,-1.3755,2.0,26.0,7.0,5.966,40559933.0
0.0086237,7.0586,0.99203,63.0,27.0,7.0,7.128,40559933.0
0.0079087,6.4734,-1.376,7.0,28.0,7.0,6.618,40559933.0
0.0086102,7.0475,1.1579,76.0,29.0,7.0,7.142,40559933.0
0.0086107,7.048,-1.3279,70.0,30.0,7.0,7.172,40559933.0
0.0085987,7.0382,1.3261,58.0,31.0,7.0,7.162,40559933.0
0.0092326,2.2999,-1.364,5.0,0.0,23.0,2.674,40559933.0
0.026199,6.5265,-1.0723,1.0,1.0,23.0,6.614,40559933.0
0.0097641,2.4323,-1.3667,3.0,2.0,23.0,2.79,40559933.0
0.02824,7.0348,-0.98869,80.0,3.0,23.0,7.104,40559933.0
0.01025,2.5535,-1.3577,3.0,4.0,23.0,2.892,40559933.0
0.028276,7.0439,-0.82374,46.0,5.0,23.0,7.092,40559933.0
0.010919,2.7201,-1.3663,4.0,6.0,23.0,3.044,40559933.0
